date,0x20240121,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,end
crc32,0xf5539933,NA,0xe4127ac1,NA,0xcdfcfe85,NA,0x38face72,NA,0x1bad3246,NA,0x86a0e25a,NA,0x2f6e945e,NA,end
max_current,600,NA,2200,NA,6000,NA,12200,NA,3300,NA,10000,NA,6000,NA,end
fcc,5023,NA,5017,NA,5017,NA,5007,NA,5012,NA,5012,NA,5012,NA,end
0,1362,597,448,2170,175,5845,43,12495,270,3075,107,8886,213,5956,end
1,1362,597,448,2170,175,5845,43,12495,270,3075,107,8886,248,5925,end
2,2574,599,727,2173,262,5814,159,12507,500,3025,166,9122,296,5950,end
3,2469,599,666,2173,250,5922,99,12479,557,2977,156,9108,238,5933,end
4,2574,576,678,2170,255,5811,159,12525,502,2946,167,9013,299,5925,end
5,2565,579,727,2175,304,5820,109,12518,494,2915,178,8917,248,5943,end
6,2550,575,675,2179,244,5856,99,11234,562,2912,167,9051,296,5952,end
7,2613,572,677,2173,263,5833,159,11279,501,2913,169,9010,298,5950,end
8,2557,569,716,2173,247,5749,159,11285,551,2909,169,8971,247,5947,end
9,2641,570,677,2173,303,5862,99,11261,503,2903,169,8932,287,5943,end
10,2650,567,737,2173,265,5829,149,11244,560,2915,169,8876,248,5948,end
11,2577,572,727,2173,264,5870,158,11282,491,2903,167,8976,298,5935,end
12,2614,569,736,2170,262,5865,89,11249,553,2895,188,8981,298,5934,end
13,2528,569,668,2172,264,5852,159,11275,560,2886,159,8891,248,5942,end
14,2619,567,729,2169,311,5865,159,11282,502,2886,199,8833,297,5938,end
15,2620,564,724,2182,264,5821,99,11288,548,2885,158,9214,287,5913,end
16,2639,567,727,2173,253,5853,168,11296,561,2877,169,9149,248,5914,end
17,2600,563,727,2173,302,5844,99,11285,560,2874,179,9089,297,5943,end
18,2683,564,726,2173,305,5799,149,11251,551,2870,159,9019,299,5925,end
19,2590,566,725,2173,244,5859,169,11291,503,2862,179,8971,249,5909,end
20,2636,564,734,2173,317,5702,94,11219,557,2865,178,8941,299,5917,end
21,2648,561,727,2173,250,5873,158,10260,549,2864,169,8882,287,5957,end
22,2613,563,726,2173,261,5862,159,10258,561,2851,179,8862,248,5921,end
23,2624,561,677,2172,315,5796,149,10252,550,2857,165,9028,298,5921,end
24,2629,557,726,2173,263,5844,159,10261,550,2853,188,9028,297,5964,end
25,2540,561,727,2170,262,5891,159,10261,551,2851,179,8986,298,5919,end
26,2550,558,725,2178,314,5797,159,10256,551,2845,169,8927,248,5932,end
27,2622,561,735,2178,264,5891,158,10264,551,2848,179,8889,298,5946,end
28,2621,561,727,2173,299,5873,149,10229,562,2842,189,8841,287,5960,end
29,2545,557,736,2172,301,5855,159,10250,558,2847,159,8830,249,5919,end
30,2643,557,725,2173,262,5855,159,10261,562,2838,195,8983,297,5951,end
31,2587,558,746,2170,299,5852,159,10263,542,2836,168,9009,297,5944,end
32,2556,557,724,2179,300,5806,149,10261,562,2836,189,8913,299,5916,end
33,2636,555,735,2175,266,5756,169,10263,552,2836,169,8885,248,5924,end
34,2631,560,741,2179,318,5918,149,10261,559,2836,189,8858,287,5951,end
35,2604,557,727,2169,252,5856,149,10268,550,2841,166,9016,298,5921,end
